batch,scroll,window,direction,frac200,blobs_letterlike,p999,mean,verdict
p0125_batch_acw10k,PHerc0125,w127,ink,0.00088,3,200.0,59.36,negative
p0125_batch_acw10k,PHerc0125,w127,ink_reverse,0.00268,11,204.0,60.26,negative
p0125_batch_acw10k,PHerc0125,w129,ink,0.00042,1,197.0,52.03,negative
p0125_batch_acw10k,PHerc0125,w129,ink_reverse,0.00132,6,201.0,51.97,negative
p0125_batch_acw30k,PHerc0125,w020,ink,0.00000,0,188.0,90.9,negative
p0125_batch_acw30k,PHerc0125,w020,ink_reverse,0.00000,0,182.0,86.71,negative
p0125_batch_acw30k,PHerc0125,w022,ink,0.00003,0,189.0,88.41,negative
p0125_batch_acw30k,PHerc0125,w022,ink_reverse,0.00000,0,187.0,86.08,negative
p0125_batch_acw30k,PHerc0125,w023,ink,0.00060,1,199.0,92.96,negative
p0125_batch_acw30k,PHerc0125,w023,ink_reverse,0.00000,0,185.0,89.03,negative
p0125_batch_acw30k,PHerc0125,w025,ink,0.00056,1,199.0,86.2,negative
p0125_batch_acw30k,PHerc0125,w025,ink_reverse,0.00006,0,185.0,82.44,negative
p0125_batch_acw30k,PHerc0125,w026,ink,0.00014,0,192.0,83.58,negative
p0125_batch_acw30k,PHerc0125,w026,ink_reverse,0.00042,1,188.0,83.84,negative
p0125_batch_acw30k,PHerc0125,w028,ink,0.00001,0,188.0,85.03,negative
p0125_batch_acw30k,PHerc0125,w028,ink_reverse,0.00000,0,183.0,84.83,negative
p0125_batch_acw30k,PHerc0125,w029,ink,0.00013,0,192.0,86.74,negative
p0125_batch_acw30k,PHerc0125,w029,ink_reverse,0.00001,0,190.0,88.39,negative
p0125_batch_acw30k,PHerc0125,w031,ink,0.00000,0,188.0,85.36,negative
p0125_batch_acw30k,PHerc0125,w031,ink_reverse,0.00074,1,199.0,86.22,negative
p0125_batch_acw30k,PHerc0125,w032,ink,0.00000,0,189.0,85.97,negative
p0125_batch_acw30k,PHerc0125,w032,ink_reverse,0.00001,0,191.0,87.94,negative
p0125_batch_acw30k,PHerc0125,w034,ink,0.00024,0,198.0,90.68,negative
p0125_batch_acw30k,PHerc0125,w034,ink_reverse,0.00018,1,192.0,88.71,negative
p0125_batch_acw30k,PHerc0125,w035,ink,0.00037,1,197.0,90.18,negative
p0125_batch_acw30k,PHerc0125,w035,ink_reverse,0.00004,0,192.0,90.47,negative
p0125_batch_acw30k,PHerc0125,w037,ink,0.00013,0,194.0,90.41,negative
p0125_batch_acw30k,PHerc0125,w037,ink_reverse,0.00008,0,190.0,89.6,negative
p0125_batch_acw30k,PHerc0125,w038,ink,0.00036,1,195.0,91.85,negative
p0125_batch_acw30k,PHerc0125,w038,ink_reverse,0.00000,0,189.0,89.38,negative
p0125_batch_acw30k,PHerc0125,w040,ink,0.00000,0,186.0,89.5,negative
p0125_batch_acw30k,PHerc0125,w040,ink_reverse,0.00025,1,194.0,89.67,negative
p0125_batch_acw30k,PHerc0125,w041,ink,0.00000,0,183.0,88.34,negative
p0125_batch_acw30k,PHerc0125,w041,ink_reverse,0.00004,0,188.0,89.02,negative
p0125_batch_acw30k,PHerc0125,w043,ink,0.00019,0,194.0,87.39,negative
p0125_batch_acw30k,PHerc0125,w043,ink_reverse,0.00013,0,189.0,85.86,negative
p0125_batch_acw30k,PHerc0125,w044,ink,0.00000,0,183.0,84.29,negative
p0125_batch_acw30k,PHerc0125,w044,ink_reverse,0.00000,0,184.0,85.55,negative
p0125_batch_acw30k,PHerc0125,w046,ink,0.00001,0,180.0,83.4,negative
p0125_batch_acw30k,PHerc0125,w046,ink_reverse,0.00001,0,186.0,82.62,negative
p0125_batch_acw30k,PHerc0125,w047,ink,0.00003,0,181.0,84.18,negative
p0125_batch_acw30k,PHerc0125,w047,ink_reverse,0.00002,0,184.0,83.1,negative
p0125_batch_acw30k,PHerc0125,w049,ink,0.00002,0,185.0,83.74,negative
p0125_batch_acw30k,PHerc0125,w049,ink_reverse,0.00002,0,188.0,84.92,negative
p0125_batch_acw30k,PHerc0125,w050,ink,0.00017,1,190.0,83.26,negative
p0125_batch_acw30k,PHerc0125,w050,ink_reverse,0.00000,0,188.0,84.79,negative
p0125_batch_acw30k,PHerc0125,w052,ink,0.00000,0,184.0,84.43,negative
p0125_batch_acw30k,PHerc0125,w052,ink_reverse,0.00000,0,179.0,85.94,negative
p0125_batch_acw30k,PHerc0125,w053,ink,0.00000,0,186.0,86.82,negative
p0125_batch_acw30k,PHerc0125,w053,ink_reverse,0.00002,0,182.0,86.94,negative
p0125_batch_acw30k,PHerc0125,w055,ink,0.00000,0,180.0,81.9,negative
p0125_batch_acw30k,PHerc0125,w055,ink_reverse,0.00000,0,168.0,83.19,negative
p0125_batch_acw30k,PHerc0125,w056,ink,0.00005,0,183.0,81.6,negative
p0125_batch_acw30k,PHerc0125,w056,ink_reverse,0.00000,0,182.0,81.86,negative
p0125_batch_acw30k,PHerc0125,w058,ink,0.00010,0,176.0,79.81,negative
p0125_batch_acw30k,PHerc0125,w058,ink_reverse,0.00000,0,165.0,78.69,negative
p0125_batch_acw30k,PHerc0125,w059,ink,0.00000,0,171.0,80.72,negative
p0125_batch_acw30k,PHerc0125,w059,ink_reverse,0.00000,0,172.0,80.8,negative
p0125_batch_acw30k,PHerc0125,w061,ink,0.00002,0,185.0,83.01,negative
p0125_batch_acw30k,PHerc0125,w061,ink_reverse,0.00000,0,180.0,84.16,negative
p0125_batch_acw30k,PHerc0125,w062,ink,0.00000,0,188.0,82.97,negative
p0125_batch_acw30k,PHerc0125,w062,ink_reverse,0.00001,0,183.0,83.6,negative
p0125_batch_acw30k,PHerc0125,w064,ink,0.00015,1,185.0,83.23,negative
p0125_batch_acw30k,PHerc0125,w064,ink_reverse,0.00000,0,176.0,82.21,negative
p0125_batch_acw30k,PHerc0125,w065,ink,0.00000,0,177.0,80.99,negative
p0125_batch_acw30k,PHerc0125,w065,ink_reverse,0.00018,1,184.0,81.81,negative
p0125_batch_acw30k,PHerc0125,w067,ink,0.00001,0,179.0,80.85,negative
p0125_batch_acw30k,PHerc0125,w067,ink_reverse,0.00015,1,185.0,83.32,negative
p0125_batch_acw30k,PHerc0125,w068,ink,0.00013,0,189.0,82.11,negative
